method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,rank_Agent 5,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,43,best_of_n (n=1.0),1.0,6,11,8.0,8,7,11,8,6,0,0,,
best_of_n,43,best_of_n (n=3.0),3.0,1,7,5.6,7,1,6,7,7,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,3,8,5.6,6,8,5,6,3,0,0,1.0,1.0
best_of_n,43,best_of_n (n=5.0),5.0,12,12,12.0,12,12,12,12,12,0,0,,
best_of_n,43,best_of_n (n=10.0),10.0,2,11,9.0,11,11,2,11,10,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,1,5,2.2,1,3,1,5,1,1,1,3.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,2,7,3.6,3,2,7,4,2,0,0,5.0,1.0
best_of_n,43,best_of_n (n=20.0),20.0,3,11,8.8,10,10,3,10,11,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,3,9,5.4,5,5,9,3,5,0,0,10.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,2,9,4.2,2,9,4,2,4,0,0,20.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,1,10,5.6,4,4,10,1,9,0,0,50.0,1.0
best_of_n,43,best_of_n (n=50.0),50.0,6,9,8.0,9,6,8,9,8,0,0,,
