method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,rank_Agent 5,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,42,best_of_n (n=1.0),1.0,3,11,6.8,5,11,3,4,11,0,0,,
best_of_n,42,best_of_n (n=3.0),3.0,3,12,7.4,6,12,4,3,12,0,0,,
habermas_machine,42,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,3,12,8.6,11,6,12,11,3,0,0,1.0,1.0
best_of_n,42,best_of_n (n=5.0),5.0,2,10,5.0,3,10,2,2,8,0,1,,
best_of_n,42,best_of_n (n=10.0),10.0,4,10,6.8,10,4,7,9,4,0,0,,
habermas_machine,42,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,1,10,5.2,2,1,8,10,5,0,0,3.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,1,12,7.4,12,9,1,5,10,0,0,5.0,1.0
best_of_n,42,best_of_n (n=20.0),20.0,1,8,5.0,4,8,5,1,7,1,0,,
habermas_machine,42,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,1,9,5.2,1,2,6,8,9,0,0,10.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,3,9,6.6,9,3,9,6,6,0,0,20.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,2,10,6.4,8,5,10,7,2,0,0,50.0,1.0
best_of_n,42,best_of_n (n=50.0),50.0,1,12,7.6,7,7,11,12,1,0,0,,
