method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,rank_Agent 5,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,43,best_of_n (n=1.0),1.0,5,9,8.2,5,9,9,9,9,0,0,,
best_of_n,43,best_of_n (n=3.0),3.0,4,8,7.2,4,8,8,8,8,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,4,9,6.0,9,6,5,6,4,0,0,1.0,1.0
best_of_n,43,best_of_n (n=5.0),5.0,6,10,9.2,6,10,10,10,10,0,0,,
best_of_n,43,best_of_n (n=10.0),10.0,4,8,5.6,8,5,4,5,6,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,3,6,4.4,3,4,6,4,5,1,0,3.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,2,7,6.0,2,7,7,7,7,0,0,5.0,1.0
best_of_n,43,best_of_n (n=20.0),20.0,7,11,10.2,7,11,11,11,11,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,2,10,4.2,10,2,3,3,3,0,0,10.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,1,11,3.6,11,1,2,2,2,0,1,20.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,1,12,3.6,12,3,1,1,1,0,0,50.0,1.0
best_of_n,43,best_of_n (n=50.0),50.0,1,12,9.8,1,12,12,12,12,0,0,,
