method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,rank_Agent 5,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,42,best_of_n (n=1.0),1.0,4,12,10.0,4,11,12,11,12,0,0,,
best_of_n,42,best_of_n (n=3.0),3.0,3,12,9.8,3,12,11,12,11,0,0,,
habermas_machine,42,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,4,12,6.4,12,6,5,4,5,0,0,1.0,1.0
best_of_n,42,best_of_n (n=5.0),5.0,5,8,6.8,5,8,7,7,7,0,0,,
best_of_n,42,best_of_n (n=10.0),10.0,1,10,8.2,1,10,10,10,10,0,0,,
habermas_machine,42,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,2,10,4.2,10,3,3,2,3,0,0,3.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,1,8,2.8,8,1,1,3,1,0,1,5.0,1.0
best_of_n,42,best_of_n (n=20.0),20.0,5,9,6.2,9,5,6,5,6,0,0,,
habermas_machine,42,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,1,7,2.8,7,2,2,1,2,1,0,20.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,4,11,5.8,11,4,4,6,4,0,0,10.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,6,8,7.4,6,7,8,8,8,0,0,50.0,1.0
best_of_n,42,best_of_n (n=50.0),50.0,2,9,7.6,2,9,9,9,9,0,0,,
