method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,rank_Agent 5,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,42,best_of_n (n=1.0),1.0,6,12,8.2,11,6,12,6,6,0,0,,
best_of_n,42,best_of_n (n=3.0),3.0,4,9,6.8,9,8,6,7,4,0,0,,
habermas_machine,42,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,5,12,7.0,12,5,5,5,8,0,0,1.0,1.0
best_of_n,42,best_of_n (n=5.0),5.0,5,8,7.0,8,7,7,8,5,1,0,,
best_of_n,42,best_of_n (n=10.0),10.0,1,9,6.4,5,9,8,9,1,0,0,,
habermas_machine,42,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,1,9,3.6,1,3,4,1,9,0,1,3.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,7,12,10.0,10,12,11,10,7,0,0,5.0,1.0
best_of_n,42,best_of_n (n=20.0),20.0,2,11,7.6,6,10,9,11,2,0,0,,
habermas_machine,42,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,1,11,4.4,4,1,3,3,11,0,0,10.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,2,10,4.0,2,4,2,2,10,0,0,20.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,1,12,4.4,3,2,1,4,12,0,0,50.0,1.0
best_of_n,42,best_of_n (n=50.0),50.0,3,12,8.6,7,11,10,12,3,0,0,,
