method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,rank_Agent 5,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,43,best_of_n (n=1.0),1.0,6,12,7.6,12,7,7,6,6,0,0,,
best_of_n,43,best_of_n (n=3.0),3.0,1,11,7.0,11,8,8,7,1,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,1,10,4.6,5,3,4,1,10,0,0,1.0,1.0
best_of_n,43,best_of_n (n=5.0),5.0,2,10,7.6,10,9,9,8,2,0,0,,
best_of_n,43,best_of_n (n=10.0),10.0,3,11,8.0,7,10,11,9,3,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,1,7,3.4,4,1,3,2,7,1,1,3.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,2,8,3.8,3,2,2,4,8,0,0,5.0,1.0
best_of_n,43,best_of_n (n=20.0),20.0,4,11,8.6,8,11,10,10,4,0,0,,
habermas_machine,43,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,2,9,4.6,2,4,5,3,9,0,0,10.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,1,12,5.0,1,6,1,5,12,0,0,20.0,1.0
habermas_machine,43,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,5,12,8.0,6,5,6,12,11,0,0,50.0,1.0
best_of_n,43,best_of_n (n=50.0),50.0,5,12,9.8,9,12,12,11,5,0,0,,
