method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,rank_Agent 5,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,44,best_of_n (n=1.0),1.0,4,6,5.2,6,4,5,6,5,1,0,,
best_of_n,44,best_of_n (n=3.0),3.0,2,8,3.6,2,2,8,4,2,0,1,,
habermas_machine,44,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,8,12,10.2,8,12,11,8,12,0,0,1.0,1.0
best_of_n,44,best_of_n (n=5.0),5.0,3,9,4.6,3,3,9,5,3,0,0,,
best_of_n,44,best_of_n (n=10.0),10.0,1,10,4.6,1,1,10,3,8,0,0,,
habermas_machine,44,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,3,9,7.4,9,7,3,9,9,0,0,3.0,1.0
habermas_machine,44,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,7,12,9.6,7,11,12,7,11,0,0,5.0,1.0
best_of_n,44,best_of_n (n=20.0),20.0,2,6,5.0,5,6,6,2,6,0,0,,
habermas_machine,44,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,2,10,6.8,10,8,2,10,4,0,0,10.0,1.0
habermas_machine,44,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,1,12,7.2,12,10,1,12,1,0,0,20.0,1.0
habermas_machine,44,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,4,11,9.0,11,9,4,11,10,0,0,50.0,1.0
best_of_n,44,best_of_n (n=50.0),50.0,1,7,4.8,4,5,7,1,7,0,0,,
