method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,42,best_of_n (n=1.0),1.0,5,11,6.75,5,6,5,11,0,0,,
best_of_n,42,best_of_n (n=3.0),3.0,1,6,4.0,1,3,6,6,1,1,,
habermas_machine,42,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,10,12,11.0,10,12,10,12,0,0,1.0,1.0
best_of_n,42,best_of_n (n=5.0),5.0,2,10,4.25,2,2,3,10,0,0,,
best_of_n,42,best_of_n (n=10.0),10.0,4,7,6.0,6,7,4,7,0,0,,
habermas_machine,42,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,2,9,7.0,9,9,8,2,0,0,3.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,1,9,6.25,7,8,9,1,0,0,5.0,1.0
best_of_n,42,best_of_n (n=20.0),20.0,1,9,4.5,3,5,1,9,0,0,,
habermas_machine,42,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,3,10,7.0,8,10,7,3,0,0,10.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,1,12,7.5,12,1,12,5,0,0,20.0,1.0
habermas_machine,42,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,4,11,9.25,11,11,11,4,0,0,50.0,1.0
best_of_n,42,best_of_n (n=50.0),50.0,2,8,4.5,4,4,2,8,0,0,,
